Mercado,Seleção,Tipo de lance,ID da Aposta,Aposta realizada,,Persistência,Probabilidades req.,Aposta ($),Responsabilidade ($),Média de probabilidades correspondidas,Lucro/Prejuízo ($)
Futebol / Tonbridge Angels x Chesham Utd / Ambos os times marcam?,Sim,A favor,371765191857,17-dez-24 10:24,,C,1.77,1.00,,1.77,(1.00)
Futebol / Rochdale x Tamworth FC / Ambos os times marcam?,Sim,A favor,371764842906,17-dez-24 10:18,,C,1.87,1.00,,1.87,(1.00)
Futebol / Chatham Town x Burgess Hill Town / Ambos os times marcam?,Sim,A favor,371765136010,17-dez-24 10:23,,C,1.69,1.00,,1.69,(1.00)
Futebol / Harrow Borough FC x Binfield Fc / Ambos os times marcam?,Sim,A favor,371765055875,17-dez-24 10:22,,C,1.56,1.00,,1.56,(1.00)
Futebol / Hereford x Scarborough Athletic / Ambos os times marcam?,Sim,A favor,371765024197,17-dez-24 10:21,,C,1.69,1.00,,1.69,(1.00)
Futebol / MVV x Feyenoord / Ambos os times marcam?,Sim,A favor,371765295329,17-dez-24 10:26,,C,1.84,1.00,,1.84,0.84
Futebol / Dungannon x Linfield / Ambos os times marcam?,Sim,A favor,371764898229,17-dez-24 10:19,,C,1.86,1.00,,1.86,(1.00)
Futebol / CD Gualberto Villarroel x Blooming Santa Cruz / Ambos os times marcam?,Sim,A favor,371764195505,17-dez-24 10:11,,C,1.74,1.00,,1.74,(1.00)
Futebol / Peterborough x Northampton / Ambos os times marcam?,Sim,A favor,371764276245,17-dez-24 10:12,,C,1.68,1.00,,1.68,(1.00)
Futebol / Elgin City FC x Clyde / Ambos os times marcam?,Sim,A favor,371764933615,17-dez-24 10:20,,C,1.67,1.00,,1.67,0.67
"Futebol / Charlton Sub21 x Birmingham Sub21 / Mais/Menos de 3,5 Gols","Menos de 3,5 gols",Contra,371793485651,17-dez-24 17:06,,C,2.62,3.09,4.94,2.6,3.09
"Futebol / Charlton Sub21 x Birmingham Sub21 / Mais/Menos de 3,5 Gols","Menos de 3,5 gols",A favor,371794824857,17-dez-24 17:18,,C,5.5,1.10,,5.5,(1.10)
Futebol / Burnley Sub21 x Hull City U21 / Ambos os times marcam?,Sim,A favor,371764554563,17-dez-24 10:15,,C,1.45,1.00,,1.45,(1.00)
Futebol / Blackpool x Aston Villa Sub21 / Ambos os times marcam?,Sim,A favor,371764474975,17-dez-24 10:14,,C,1.7,1.00,,1.7,0.70
Futebol / Kelty Hearts x Arbroath / Ambos os times marcam?,Sim,A favor,371765230014,17-dez-24 10:25,,C,1.64,1.00,,1.64,0.64
Futebol / Charlton Sub21 x Birmingham Sub21 / Ambos os times marcam?,Sim,A favor,371764090906,17-dez-24 10:09,,C,1.4,1.00,,1.4,0.40
Futebol / FC Eindhoven x Excelsior / Ambos os times marcam?,Sim,A favor,371764722878,17-dez-24 10:17,,C,1.72,1.00,,1.72,0.72
